tick, C0 sequence, C0 pattern, C0 pattern name, C0 row, C0 note, C1 sequence, C1 pattern, C1 pattern name, C1 row, C1 note
143, 2, 8, left 4, 15,  16:    |, 2, 9, right 4, 15,  16:    |
144, 2, 8, left 4, 16,  17: D#4 I1 44, 2, 9, right 4, 16,  17: G#1 I2 30
145, 2, 8, left 4, 17,  18:    |, 2, 9, right 4, 17,  18:    |
146, 2, 8, left 4, 18,  19: D#4 I1 44, 2, 9, right 4, 18,  19:    |
147, 2, 8, left 4, 19,  20:    |, 2, 9, right 4, 19,  20:    |
148, 2, 8, left 4, 20,  21: D#4 I1 44, 2, 9, right 4, 20,  21:    |
149, 2, 8, left 4, 21,  22:    |, 2, 9, right 4, 21,  22:   ---
150, 2, 8, left 4, 22,  23: F-4 I1 42, 2, 9, right 4, 22,  23: G#1 I2 30
151, 2, 8, left 4, 23,  24:    |, 2, 9, right 4, 23,  24:    |
152, 2, 8, left 4, 24,  25: D#4 I1 44, 2, 9, right 4, 24,  25:    |
153, 2, 8, left 4, 25,  26:    |, 2, 9, right 4, 25,  26:    |
154, 2, 8, left 4, 26,  27:    |, 2, 9, right 4, 26,  27:    |
155, 2, 8, left 4, 27,  28:    |, 2, 9, right 4, 27,  28:   ---
156, 2, 8, left 4, 28,  29: G#3 I1 50, 2, 9, right 4, 28,  29:    |
157, 2, 8, left 4, 29,  30:    |, 2, 9, right 4, 29,  30:    |
158, 2, 8, left 4, 30,  31:    |, 2, 9, right 4, 30,  31:    |
159, 2, 8, left 4, 31,  32:    |, 2, 9, right 4, 31,  32:    |
160, 2, 8, left 4, 32,  33:   ---, 2, 9, right 4, 32,  33: A#1 I2 26
161, 2, 8, left 4, 33,  34:    |, 2, 9, right 4, 33,  34:    |
162, 2, 8, left 4, 34,  35:    |, 2, 9, right 4, 34,  35:    |
163, 2, 8, left 4, 35,  36:    |, 2, 9, right 4, 35,  36:    |
164, 2, 8, left 4, 36,  37:    |, 2, 9, right 4, 36,  37:    |
165, 2, 8, left 4, 37,  38:    |, 2, 9, right 4, 37,  38:   ---
